ts_code,trade_date,name,open,low,high,close,change,pct_change,vol,amount,pe,pb,y
801010,20190402,农林牧渔,3605.26,3485.11,3605.26,3513.06,-41.36,-1.16,236389.0,2761598.0,39.92,3.78,0
801020,20190402,采掘,2935.97,2905.01,2941.36,2935.37,22.18,0.76,282181.0,1732160.0,15.25,1.34,1
801030,20190402,化工,2971.25,2961.67,3011.61,2996.91,55.41,1.88,762659.0,7911222.0,18.94,2.06,1
801040,20190402,钢铁,2743.16,2711.59,2743.16,2732.47,0.8,0.03,195360.0,1062437.0,7.85,1.23,1
801050,20190402,有色金属,3195.75,3152.6,3261.4,3234.95,63.39,2.0,582889.0,5159532.0,32.45,2.26,1
801080,20190402,电子,2949.98,2924.79,2970.61,2935.14,0.62,0.02,683154.0,8117717.0,34.64,3.14,1
801110,20190402,家用电器,6970.77,6882.3,6973.44,6892.98,-70.05,-1.01,172337.0,1586252.0,15.45,3.13,0
801120,20190402,食品饮料,13082.51,12840.94,13082.51,12958.48,-151.07,-1.15,119683.0,2720395.0,31.06,5.83,0
801130,20190402,纺织服装,2322.71,2309.75,2332.17,2317.32,2.98,0.13,121569.0,941894.0,25.09,2.01,1
801140,20190402,轻工制造,2632.49,2610.28,2645.19,2620.0,6.92,0.26,251513.0,2633454.0,22.45,2.11,1
801150,20190402,医药生物,7890.71,7827.79,7890.71,7854.59,-22.64,-0.29,526139.0,7337563.0,33.98,3.61,0
801160,20190402,公用事业,2287.29,2272.49,2294.02,2279.09,1.93,0.08,350113.0,2602067.0,23.14,1.69,1
801170,20190402,交通运输,2627.14,2606.78,2634.31,2613.79,-3.48,-0.13,371839.0,2536953.0,21.47,1.64,0
801180,20190402,房地产,4807.41,4771.86,4813.32,4798.94,22.7,0.48,455093.0,3761025.0,11.83,1.65,1
801200,20190402,商业贸易,3924.49,3922.67,3958.97,3936.12,22.96,0.59,185775.0,1694659.0,18.72,1.74,1
801210,20190402,休闲服务,6106.57,6056.98,6111.67,6073.1,-0.56,-0.01,49486.0,611108.0,33.27,3.67,0
801230,20190402,综合,2327.92,2310.12,2359.91,2342.76,16.8,0.72,138993.0,1006242.0,37.67,1.85,1
801250,20190402,申万制造,3479.43,3455.86,3506.44,3470.9,12.29,0.36,2670370.0,29441730.0,30.06,2.57,1
801260,20190402,申万消费,5961.58,5890.27,5961.58,5911.87,-33.27,-0.56,1662891.0,20286922.0,24.43,3.38,0
801270,20190402,申万投资,2636.6,2619.86,2662.58,2653.16,38.29,1.46,1997161.0,17757591.0,15.6,1.89,1
801280,20190402,申万服务,3079.2,3065.09,3102.02,3074.73,8.54,0.28,3562274.0,35301370.0,13.8,1.56,1
801300,20190402,申万300指数,2812.97,2792.62,2812.97,2801.89,-1.62,-0.06,2342190.0,32987242.0,15.23,1.96,0
801710,20190402,建筑材料,5884.51,5848.49,5917.74,5880.61,37.29,0.64,170711.0,1878042.0,13.42,2.07,1
801720,20190402,建筑装饰,2605.08,2586.53,2612.6,2594.82,3.9,0.15,348205.0,2827689.0,12.43,1.33,1
801730,20190402,电气设备,4778.29,4757.22,4798.18,4772.73,11.74,0.25,437763.0,3853504.0,31.05,2.24,1
801740,20190402,国防军工,1304.74,1293.05,1332.24,1297.21,17.28,1.35,249536.0,2839218.0,73.0,2.77,1
801750,20190402,计算机,4972.06,4952.71,5108.08,4966.77,34.48,0.7,654216.0,10364080.0,58.22,3.93,1
801760,20190402,传媒,749.33,744.57,760.33,747.88,1.4,0.19,583517.0,5161684.0,27.23,2.36,1
801770,20190402,通信,2666.85,2642.67,2693.34,2656.09,4.39,0.17,324708.0,4789994.0,46.57,3.02,1
801780,20190402,银行,3708.76,3699.09,3728.55,3707.53,11.05,0.3,316441.0,2508234.0,7.2,0.87,1
801790,20190402,非银金融,2144.75,2137.05,2168.63,2146.06,4.76,0.22,614539.0,7484135.0,22.65,2.07,1
801880,20190402,汽车,4228.32,4198.16,4279.69,4257.5,48.54,1.15,297043.0,2921692.0,17.44,1.73,1
801890,20190402,机械设备,1291.48,1280.06,1296.57,1284.42,0.73,0.06,546477.0,4975107.0,31.55,2.29,1
802600,20190402,交银装备,4334.72,4310.52,4380.68,4332.46,26.19,0.61,4939070.0,55130170.0,27.38,2.5,1
801010,20190403,农林牧渔,3486.77,3466.94,3527.27,3527.27,14.21,0.4,183814.0,1959421.0,40.08,3.82,1
801020,20190403,采掘,2936.42,2935.01,2990.76,2990.43,55.07,1.88,280985.0,1772513.0,15.54,1.36,1
801030,20190403,化工,2983.14,2970.98,3010.15,3009.42,12.51,0.42,671608.0,7116972.0,19.12,2.08,1
801040,20190403,钢铁,2724.79,2717.0,2775.29,2772.78,40.31,1.48,203091.0,1083333.0,7.97,1.25,1
801050,20190403,有色金属,3209.02,3197.88,3242.49,3237.72,2.77,0.09,405060.0,3859621.0,32.66,2.26,1
