id,date,title,content
20190521_00,20190521,习近平在视察陆军步兵学院时强调 全面提高办学育人水平 为强军事业提供有力人才支持,中共中央总书记、国家主席、中央军委主席习近平21日到陆军步兵学院视察。他强调，要深入贯彻新时代党的强军思想，深入贯彻新时代军事战略方针，面向战场、面向部队、面向未来，走内涵式发展道路，强化政治保证，把好办学定位，深化改革创新，全面提高办学育人水平，为强军事业提供有力人才支持。五月的赣鄱大地青山苍翠，碧水如练，南昌英雄城生机盎然。上午10时许，习近平乘车来到陆军步兵学院。在热烈的掌声中，习近平亲切接见驻江西部队副师职以上领导干部和建制团级单位主官、陆军步兵学院本部正团职以上干部和石家庄校区主官、专家教授代表。习近平同大家合影留念。学院训练场上，学员们生龙活虎、喊声震天，一派实战化练兵景象。习近平走到障碍训练场旁，察看学员进行障碍训练情况。极限训练对于锤炼学员体能极限、意志极限、心理极限，提高战场适应能力很有意义。习近平步行进入极限训练场，详细了解有关训练设施和训练情况。学员们进行了阻绝墙跳水、翻越懒人梯、跨越步步高、翻越高墙、攀爬云梯、攀越高空荡木桥、扛圆木等训练。看到学员们摸爬滚打一身泥水，迎着障碍一往无前，习近平很高兴。离开训练场，习近平来到学院红色资源研究中心。长期以来，学院坚持发挥红色资源优势，在红色基因铸魂育人方面作了积极探索。习近平听取有关情况介绍，对学院做法给予肯定。习近平强调，要把红色资源运用好，把红色基因传承好，培养一茬茬、一代代合格的红军传人。随后，习近平听取学院工作汇报，并发表重要讲话。他强调，办什么样的院校、培养什么样的人才，是办学育人首先要解决的问题。习近平指出，学校是立德树人的地方，必须坚持坚定正确政治方向。要坚持用新时代中国特色社会主义思想和新时代党的强军思想武装头脑，深入贯彻古田全军政治工作会议、军委党的建设会议精神，全面加强党的领导和党的建设工作，把政治建军要求落实到办学治校各方面和全过程。军队院校因打仗而生、为打仗而建，必须围绕实战搞教学、着眼打赢育人才。要立起为战育人鲜明导向，一切办学活动都要聚焦能打仗、打胜仗。要把握现代战争特点规律，把握陆军转型建设要求，做到打仗需要什么就教什么、部队需要什么就练什么，使人才培养供给侧同未来战场需求侧精准对接。要加强顶层设计和长远谋划，拿出科学的目标图、路线图、施工图，一张蓝图抓到底。习近平强调，要坚持改转并举，大胆解放思想，加强实践探索，加快推进办学模式和运行机制创新，推动实现高质量发展。要紧贴形势任务需要，狠抓实战化教学改革，优化学科布局，完善专业设置，更新教学内容，推动学科专业建设与时俱进。要坚持集约集优、开放办学、联合育人，加强学院师资力量整合升级，加强院外优质教育资源引进共享，打造过硬教员队伍。要有针对性加强配套保障，确保教育训练顺利进行。习近平指出，学院党委班子要带头加强自身建设和政治历练，提高领导水平和专业素养，满腔热忱为广大师生员工解决实际困难，团结带领大家把学院建设推向前进。要坚持严字当头、全面从严、一严到底，严肃学风、教风、研风、考风，深入纠治“四风”特别是形式主义、官僚主义，确保风清气正。张又侠等参加活动。
20190521_01,20190521,习近平向印尼当选总统佐科致贺电, 5月21日，国家主席习近平向印尼总统佐科·维多多致贺电，代表中国政府和中国人民，并以个人的名义祝贺他胜选连任印度尼西亚总统。习近平在贺电中指出，中国和印度尼西亚同为发展中大国，在双边、地区和多边层面拥有广泛共同利益，是天然合作伙伴。近年来，两国以共建“一带一路”为契机，持续深化发展战略对接，各领域务实合作成效显著，双边关系步入快速发展的新阶段。我高度重视中印尼关系，愿继续同佐科总统共同努力，引领两国全面战略伙伴关系在过去五年基础上更上一层楼，造福两国和两国人民。
20190521_02,20190521,中共中央印发《中国共产党党员教育管理工作条例》, 中共中央近日印发《中国共产党党员教育管理工作条例》。《条例》以习近平新时代中国特色社会主义思想为指导，以党章为根本遵循，总结吸收实践创新成果，对党员教育管理的内容、方式、程序等作出规范，是新时代党员教育管理工作的基本遵循。每个党员，不论职务高低，都必须按照党章要求和《条例》规定，接受党组织的教育管理。各级党委各党组要把抓好党员教育管理作为重大政治责任，采取有力措施，严格贯彻执行《条例》，增强针对性和有效性，防止形式主义。要抓好《条例》的宣传解读和学习培训，使各级党组织、广大党员特别是党员领导干部深入领会《条例》精神，全面掌握《条例》内容，严格执行《条例》规定。中央组织部要会同有关部门加强督促指导，确保《条例》得到有效贯彻落实。各地区各部门在执行《条例》中的重要情况和建议，要及时报告党中央。《中国共产党党员教育管理工作条例》共10章、46条，自2019年5月6日起施行。
20190521_03,20190521,全国地方政协工作经验交流会在京召开 汪洋出席并讲话,全国地方政协工作经验交流会20日至21日在京召开。中共中央政治局常委、全国政协主席汪洋出席会议并讲话。他强调，要认真学习贯彻习近平总书记关于加强和改进人民政协工作的重要思想，把政协作为专门协商机构的职能、性质和定位突出出来，落实协商职能、完善协商机制、丰富协商形式，推进地方政协特别是市县政协履行职能制度化、规范化和程序化，推动人民政协制度更加成熟更加定型，更好彰显人民政协在国家治理体系中的作用。汪洋指出，近年来各级地方政协在当地党委领导下，集中开展习近平总书记关于加强和改进人民政协工作的重要思想学习研讨活动，全面加强新时代人民政协党的建设各项工作，成绩来之不易，值得充分肯定。汪洋强调，要健全完善党对政协工作领导的组织体系，在落实党对政协工作全面领导上更进一步。要巩固拓展习近平总书记关于加强和改进人民政协工作的重要思想学习研讨活动成果，在推进思想理论武装上更进一步。要探索提高协商议政质量的模式方式和评价办法，在提高履职质量上更进一步。要大兴调查研究之风、履职为民之风、密切联系群众之风，坚决克服和防止形式主义、官僚主义，在改进工作作风上更进一步。要坚持从严教育、从严要求、从严管理、从严监督，在加强政协委员和机关干部“两支队伍”建设上更进一步。要及时总结推广各地政协的新经验新做法，在加强各级政协联系指导上更进一步。10位省市县政协负责同志作了大会发言，与会同志就地方政协工作进行了交流研讨。
20190521_04,20190521,韩正会见香港福建社团联会访京团,中共中央政治局常委、国务院副总理韩正21日下午在人民大会堂会见了香港福建社团联会访京团，与他们交流并合影留念。韩正充分肯定香港福建社团联会在促进香港与内地交流合作、维护香港繁荣稳定方面作出的积极贡献。希望他们继续高举爱国爱港旗帜，广泛团结各界，坚定维护国家主权、安全和发展利益，推动“一国两制”事业行稳致远。韩正表示，中央完全支持特区政府正在开展的“两个条例”修订相关工作，相信经过特区政府的努力工作和各界理性的讨论，一定能消除疑虑、形成共识。希望各界人士为维护香港的法治形象而共同努力。香港福建社团联会主席吴换炎、荣誉主席吴良好分别作了发言。尤权参加会见。
20190521_05,20190521,国务院办公厅印发《深化收费公路制度改革取消高速公路省界收费站实施方案》,国务院办公厅日前印发《深化收费公路制度改革取消高速公路省界收费站实施方案》。《方案》指出，为贯彻落实党中央、国务院决策部署，进一步深化收费公路制度改革，加快取消全国高速公路省界收费站，实现不停车快捷收费，要按照“远近结合、统筹谋划，科学设计、有序推进，安全稳定、提效降费”的原则，明确技术路线，加快工程建设，力争2019年底前基本取消全国高速公路省界收费站，提升人民群众的获得感、幸福感、安全感。《方案》部署了四项工作任务。一是加快建设和完善高速公路收费体系。二是加快电子不停车收费系统推广应用。三是加快推进公路法、收费公路管理条例等相关法律法规修订工作，出台优化重大节假日小型客车免费通行、鲜活农产品运输“绿色通道”等通行费减免政策的具体实施意见。四是推动政府收费公路存量债务置换，防范化解债务风险，为取消高速公路省界收费站创造有利条件。
20190521_06,20190521,华东师范大学思政课 以真理育人心,华东师范大学创新思政课教学方法，让理论和实践相结合，让名师专家进课堂，思想政治教育的亲和力、感染力大大增强。在华东师范大学的一节思政课上，师生们正围绕刚刚完成的一次实践教学展开讨论，几天前，他们去了中国商飞公司参观大飞机，社会实践与课堂理论教学相结合，是华东师范大学思政课的创新。一批学术名家也纷纷为学生开出了思政选修课。华东师范大学是新中国组建的第一所社会主义师范大学，培养的很多学生将成为中小学教师，思政课也成为培养社会主义建设者和接班人的重要保障。
20190521_07,20190521,第十二届中国艺术节在上海开幕 献礼新中国成立70周年,第十二届中国艺术节20日晚在上海拉开帷幕。本届中国艺术节由文化和旅游部、上海市人民政府共同主办，以“逐梦新时代——向国庆献礼，向人民汇报”为主题。艺术节坚持“艺术的盛会、人民的节日”的办节宗旨和“精品、惠民、节俭、可持续”的办节原则，将展示近年来我国文艺创作的丰硕成果和文艺工作者的精神风貌，向中华人民共和国成立70周年献礼。由上海歌舞团有限公司排演的舞剧《永不消逝的电波》作为20日晚的开幕演出，吸引各界观众约1400人共聚上海大剧院观演。艺术节期间，来自全国各地的51台优秀剧目将在上海的19个剧场为观众演出，演出总量超过百场。同时，还将举办第十六届文华奖和第十八届群星奖评奖，并开展一系列文化惠民活动。本届艺术节将持续至6月2日。
20190521_08,20190521,华为创始人接受媒体采访,针对社会对华为的关切，华为创始人任正非今天（5月21日）在深圳华为总部接受了媒体采访。任正非首先感谢美国企业多年来的支持和伴随成长。美商务部将华为及其附属公司列入所谓实体名单，有媒体担心，华为可能受到影响，针对这一问题，任正非表示，华为先进技术领域不受清单影响。今天（5月21日）下午，任正非又接受了中央广播电视总台记者董倩的专访，专访内容将在今晚（5月21日）《新闻1+1》节目播出。
20190521_09,20190521,人民日报钟声文章：不要逆历史潮流而动——“对华文明冲突论”可以休矣,今天（5月21日）出版的人民日报发表钟声文章，题目是《不要逆历史潮流而动——“对华文明冲突论”可以休矣》。文章说，以人种来确定文明、以文明来确定国家冲突的逻辑是十分危险的。全世界善良的人们要高度警惕了，决不能让这种逆历史潮流而动的种族主义言论泛滥开来！文章说，中美两国各具特色，历史、文化、社会制度、民众诉求等不尽相同，双方存在一些分歧在所难免。有了分歧并不可怕，关键是不要把分歧当成采取对抗态度的理由，而要坚持相互尊重，致力于平等协商，找到双方都可接受的解决办法。文章指出，把国与国之间的问题上升到文明层面，把不同文明降低到人种范畴，不仅于事无补，而且有百害而无一利。
