ts_code,trade_date,name,open,low,high,close,change,pct_change,vol,amount,pe,pb,y
801010,20190522,农林牧渔,3317.99,3287.78,3352.75,3328.05,-7.75,-0.23,241402.0,2349943.0,50.29,3.6,0
801020,20190522,采掘,2710.07,2678.51,2717.13,2695.33,-10.48,-0.39,132619.0,788374.0,13.72,1.21,0
801030,20190522,化工,2598.9,2564.06,2601.26,2579.09,-25.17,-0.97,326963.0,2906005.0,18.38,1.84,0
801040,20190522,钢铁,2345.26,2330.53,2362.39,2330.53,-40.7,-1.72,125644.0,459034.0,7.46,1.03,0
801050,20190522,有色金属,2838.99,2794.91,2848.59,2795.2,-48.41,-1.7,340521.0,3354922.0,34.04,2.03,0
801080,20190522,电子,2447.48,2440.14,2495.66,2465.24,-5.01,-0.2,558920.0,5940461.0,30.48,2.58,0
801110,20190522,家用电器,6866.11,6793.33,6939.5,6817.91,-10.02,-0.15,80034.0,1066361.0,15.95,3.07,0
801120,20190522,食品饮料,13283.24,13113.05,13375.33,13225.72,-87.52,-0.66,100185.0,1894675.0,29.16,5.8,0
801130,20190522,纺织服装,2010.46,1994.73,2017.73,2004.36,-15.08,-0.75,52031.0,371650.0,22.0,1.75,0
801140,20190522,轻工制造,2210.09,2183.59,2214.52,2196.98,-16.88,-0.76,96142.0,830396.0,21.16,1.76,0
801150,20190522,医药生物,7146.16,7075.86,7158.18,7103.2,-42.15,-0.59,212209.0,2798174.0,32.67,3.22,0
801160,20190522,公用事业,2022.79,2004.7,2025.14,2012.56,-9.15,-0.45,145729.0,862570.0,20.19,1.5,0
801170,20190522,交通运输,2404.15,2388.45,2414.43,2398.29,-5.83,-0.24,161650.0,1044002.0,18.37,1.47,0
801180,20190522,房地产,4170.47,4133.41,4173.35,4146.85,-26.87,-0.64,139044.0,1047882.0,10.23,1.38,0
801200,20190522,商业贸易,3531.47,3475.34,3531.5,3500.04,-28.14,-0.8,71427.0,595021.0,17.45,1.51,0
801210,20190522,休闲服务,5597.16,5552.33,5637.07,5603.79,18.48,0.33,18049.0,200942.0,30.35,3.28,1
