ts_code,trade_date,name,open,low,high,close,change,pct_change,vol,amount,pe,pb,y
801010,20140401,农林牧渔,1668.75,1668.54,1689.12,1689.07,22.13,1.33,34914.0,291113.0,41.51,2.77,1
801010,20140402,农林牧渔,1688.72,1684.53,1693.41,1692.24,3.17,0.19,36300.0,289020.0,41.63,2.79,1
801010,20140403,农林牧渔,1693.05,1679.85,1697.73,1685.71,-6.53,-0.39,31403.0,259464.0,41.38,2.78,0
801010,20140404,农林牧渔,1681.92,1680.34,1698.44,1698.25,12.54,0.74,28648.0,240940.0,41.76,2.8,1
801010,20140408,农林牧渔,1693.24,1692.22,1706.84,1706.84,8.59,0.51,35012.0,312423.0,42.0,2.79,1
801010,20140409,农林牧渔,1708.13,1707.49,1726.01,1725.55,18.71,1.1,43114.0,378611.0,41.68,2.81,1
801010,20140410,农林牧渔,1723.57,1721.18,1730.89,1725.67,0.12,0.01,42089.0,386253.0,41.68,2.81,1
801010,20140411,农林牧渔,1721.84,1713.55,1724.08,1719.15,-6.52,-0.38,33973.0,302877.0,41.38,2.8,0
801010,20140414,农林牧渔,1718.35,1717.57,1751.81,1749.88,30.73,1.79,45683.0,440762.0,42.11,2.86,1
801010,20140415,农林牧渔,1747.73,1743.36,1758.92,1748.24,-1.64,-0.09,52524.0,482483.0,41.83,2.89,0
801010,20140416,农林牧渔,1743.14,1743.07,1761.87,1759.88,11.64,0.67,47387.0,415858.0,41.33,2.91,1
801010,20140417,农林牧渔,1765.11,1751.34,1768.27,1751.95,-7.93,-0.45,39258.0,364281.0,41.19,2.89,0
801010,20140418,农林牧渔,1747.78,1740.37,1749.27,1748.07,-3.88,-0.22,27658.0,250801.0,41.05,2.87,0
801010,20140421,农林牧渔,1738.5,1721.93,1753.82,1723.44,-24.63,-1.41,34708.0,317704.0,40.55,2.84,0
801010,20140422,农林牧渔,1719.55,1689.66,1726.53,1712.55,-10.89,-0.63,37810.0,350380.0,40.55,2.81,0
801010,20140423,农林牧渔,1713.95,1704.45,1723.92,1708.59,-3.96,-0.23,29933.0,281126.0,40.72,2.8,0
801010,20140424,农林牧渔,1705.93,1695.73,1711.51,1696.33,-12.26,-0.72,28072.0,263656.0,40.65,2.78,0
801010,20140425,农林牧渔,1697.29,1664.62,1698.52,1665.01,-31.32,-1.85,36588.0,345842.0,39.63,2.73,0
801010,20140428,农林牧渔,1659.78,1606.24,1660.02,1608.36,-56.65,-3.4,34912.0,308748.0,38.54,2.63,0
801010,20140429,农林牧渔,1606.9,1606.45,1630.99,1630.56,22.2,1.38,24681.0,217555.0,40.81,2.65,1
801010,20140430,农林牧渔,1627.63,1620.66,1635.84,1634.53,3.97,0.24,22190.0,200379.0,41.3,2.61,1
801010,20140505,农林牧渔,1631.2,1627.64,1669.82,1669.82,35.29,2.16,30320.0,309628.0,43.57,2.67,1
801010,20140506,农林牧渔,1666.06,1665.7,1692.11,1687.83,18.01,1.08,33004.0,352131.0,44.04,2.7,1
801010,20140507,农林牧渔,1683.2,1663.34,1685.64,1664.49,-23.34,-1.38,29082.0,296894.0,43.43,2.66,0
801010,20140508,农林牧渔,1662.49,1658.42,1683.17,1662.89,-1.6,-0.1,23884.0,235397.0,43.39,2.66,0
801010,20140509,农林牧渔,1660.53,1633.0,1662.81,1647.72,-15.17,-0.91,22227.0,217123.0,42.99,2.63,0
