ts_code,trade_date,p
801010,20190402,0.9875142137458555
801010,20190403,0.9432648342002868
801010,20190404,0.977399167286939
801010,20190408,0.7484692962931849
801010,20190409,0.3858592836108549
801020,20190402,0.8965761663960905
801020,20190403,0.46042407929736784
801020,20190404,0.510884413462774
801020,20190408,0.5968176631911298
801020,20190409,0.22771971666348786
801030,20190402,0.9908140207426308
801030,20190403,0.9930535892191508
801030,20190404,0.9945078469220628
801030,20190408,0.35573801579678266
801030,20190409,0.9739772179882578
801040,20190402,0.9691808453577345
801040,20190403,0.9059577589500852
801040,20190404,0.6816513339337501
801040,20190408,0.8442236727354113
801040,20190409,0.9805805005468844
801050,20190402,0.8539757092214892
801050,20190403,0.9311876805603618
801050,20190404,0.9260321125033061
801050,20190408,0.7033881004808877
801050,20190409,0.8817456295264514
801080,20190402,0.9426501421877499
801080,20190403,0.9783342471847764
801080,20190404,0.9711122829829754
801080,20190408,0.20480950980922433
801080,20190409,0.1331648226558503
801110,20190402,0.8947253669481748
801110,20190403,0.9616412063388957
801110,20190404,0.36617027244263023
801110,20190408,0.0973929745766872
801110,20190409,0.02104347639005394
801120,20190402,0.9635167208393352
801120,20190403,0.7146036739363086
801120,20190404,0.6024840038896778
801120,20190408,0.9092258384262077
801120,20190409,0.1643503709535168
801130,20190402,0.8259888862157512
801130,20190403,0.8317064491704905
801130,20190404,0.6359312111795974
801130,20190408,0.48580953459884485
801130,20190409,0.5586780116710952
801140,20190402,0.9061954229292988
801140,20190403,0.767973192360014
801140,20190404,0.6742679894075168
801140,20190408,0.10704909687899967
801140,20190409,0.5553931271079914
801150,20190402,0.9849637786898034
801150,20190403,0.9946710663426436
801150,20190404,0.987362121871886
801150,20190408,0.4882214675411533
801150,20190409,0.662346943723942
801160,20190402,0.9903439406763586
801160,20190403,0.9764811796038293
801160,20190404,0.66925932436168
801160,20190408,0.7030739058393145
801160,20190409,0.7282901261522279
801170,20190402,0.9883800471226256
801170,20190403,0.9053380538427857
801170,20190404,0.9562762394700041
801170,20190408,0.2534169439177432
801170,20190409,0.3091295735416155
801180,20190402,0.9700517254646206
801180,20190403,0.861334728234193
801180,20190404,0.7707321952889206
801180,20190408,0.559210230153533
801180,20190409,0.8310665907910538
801200,20190402,0.9888941887173399
801200,20190403,0.9964691425002885
801200,20190404,0.9988569016982402
801200,20190408,0.878891563228615
801200,20190409,0.9430175416590679
801210,20190402,0.7723595694446935
801210,20190403,0.7332924969940225
801210,20190404,0.24353275673483576
801210,20190408,0.0034190620830077973
801210,20190409,0.0269952428874061
801230,20190402,0.8080013358215996
801230,20190403,0.8177286478233774
801230,20190404,0.9691170824120106
801230,20190408,0.3996167371087401
801230,20190409,0.4070386274242794
801250,20190402,0.9284064711654116
801250,20190403,0.9617476963541786
801250,20190404,0.9194785124290868
801250,20190408,0.7905437996438008
801250,20190409,0.8493607147003833
801260,20190402,0.9589805841803237
801260,20190403,0.9852820304455439
801260,20190404,0.9294653505645235
801260,20190408,0.318531788751149
801260,20190409,0.5232795360822776
801270,20190402,0.9645387889731276
801270,20190403,0.897623457099869
801270,20190404,0.9899406789093561
801270,20190408,0.7562417735614152
801270,20190409,0.9601010748543336
801280,20190402,0.8284188656607857
801280,20190403,0.9600890340015155
801280,20190404,0.9733787363764902
801280,20190408,0.839228026546052
801280,20190409,0.974437962975728
801300,20190402,0.9832436712226162
801300,20190403,0.8896886731134327
801300,20190404,0.9349431899516062
801300,20190408,0.9005533356544358
801300,20190409,0.20401201102699237
801710,20190402,0.9937873435113516
801710,20190403,0.9699471126694161
801710,20190404,0.9926877433593434
801710,20190408,0.6987597355996757
801710,20190409,0.5935151726043537
801720,20190402,0.973394279498691
801720,20190403,0.7268129947664147
801720,20190404,0.8668872112189732
801720,20190408,0.2706580591885345
801720,20190409,0.7356783403807984
801730,20190402,0.9167826805354433
801730,20190403,0.9332284916157758
801730,20190404,0.6757859311769896
801730,20190408,0.7661542639432601
801730,20190409,0.4414626939092971
801740,20190402,0.9855614416457312
801740,20190403,0.9050030987227715
801740,20190404,0.6240784924781244
801740,20190408,0.22879676142993788
801740,20190409,0.35241720143273836
801750,20190402,0.9686589924319203
801750,20190403,0.9897149384168333
801750,20190404,0.8769816025119709
801750,20190408,0.7030871727538741
801750,20190409,0.8233960677551282
801760,20190402,0.9654635658468071
801760,20190403,0.8616236578399585
801760,20190404,0.8668601231055226
801760,20190408,0.3447626309907179
801760,20190409,0.39294926685105447
801770,20190402,0.9494940749647974
801770,20190403,0.9700017397001939
801770,20190404,0.979915381272958
801770,20190408,0.6198755975822938
801770,20190409,0.3703064693507961
801780,20190402,0.5369950717759943
801780,20190403,0.625301739671741
801780,20190404,0.6998193876013851
801780,20190408,0.18606273441459847
801780,20190409,0.3764493355089406
801790,20190402,0.8745285567129862
801790,20190403,0.6048571160836248
801790,20190404,0.43997598857205833
801790,20190408,0.5828187106602202
801790,20190409,0.5927300460100144
801880,20190402,0.9741632106970086
801880,20190403,0.9931576669043398
801880,20190404,0.8679900047009081
801880,20190408,0.6307390532517673
801880,20190409,0.5448311065469841
801890,20190402,0.9141798399298042
801890,20190403,0.8305938988551839
801890,20190404,0.7775100625261767
801890,20190408,0.6623735236548559
801890,20190409,0.9162817897002768
802600,20190402,0.8918912776939859
802600,20190403,0.9643351813874936
802600,20190404,0.932584146603238
802600,20190408,0.5173035551105842
802600,20190409,0.8779295209774958
