,ts_code,trade_date,p
0,801010,20190402,0.5239634836732144
1,801010,20190403,0.5246212597247373
2,801010,20190404,0.523282165983433
3,801010,20190408,0.5181279688163356
4,801010,20190409,0.5189648948280965
5,801020,20190402,0.5239634836732144
6,801020,20190403,0.5246212597247373
7,801020,20190404,0.523282165983433
8,801020,20190408,0.5181279688163356
9,801020,20190409,0.5189648948280965
10,801030,20190402,0.5239634836732144
11,801030,20190403,0.5246212597247373
12,801030,20190404,0.523282165983433
13,801030,20190408,0.5181279688163356
14,801030,20190409,0.5189648948280965
15,801040,20190402,0.5239634836732144
16,801040,20190403,0.5246212597247373
17,801040,20190404,0.523282165983433
18,801040,20190408,0.5181279688163356
19,801040,20190409,0.5189648948280965
20,801050,20190402,0.5239634836732144
21,801050,20190403,0.5246212597247373
22,801050,20190404,0.523282165983433
23,801050,20190408,0.5181279688163356
24,801050,20190409,0.5189648948280965
25,801080,20190402,0.5239634836732144
26,801080,20190403,0.5246212597247373
27,801080,20190404,0.523282165983433
28,801080,20190408,0.5181279688163356
29,801080,20190409,0.5189648948280965
30,801110,20190402,0.5239634836732144
31,801110,20190403,0.5246212597247373
32,801110,20190404,0.523282165983433
33,801110,20190408,0.5181279688163356
34,801110,20190409,0.5189648948280965
35,801120,20190402,0.5239634836732144
36,801120,20190403,0.5246212597247373
37,801120,20190404,0.523282165983433
38,801120,20190408,0.5181279688163356
39,801120,20190409,0.5189648948280965
40,801130,20190402,0.5239634836732144
41,801130,20190403,0.5246212597247373
42,801130,20190404,0.523282165983433
43,801130,20190408,0.5181279688163356
44,801130,20190409,0.5189648948280965
45,801140,20190402,0.5239634836732144
46,801140,20190403,0.5246212597247373
47,801140,20190404,0.523282165983433
48,801140,20190408,0.5181279688163356
49,801140,20190409,0.5189648948280965
50,801150,20190402,0.5239634836732144
51,801150,20190403,0.5246212597247373
52,801150,20190404,0.523282165983433
53,801150,20190408,0.5181279688163356
54,801150,20190409,0.5189648948280965
55,801160,20190402,0.5239634836732144
56,801160,20190403,0.5246212597247373
57,801160,20190404,0.523282165983433
58,801160,20190408,0.5181279688163356
59,801160,20190409,0.5189648948280965
60,801170,20190402,0.5239634836732144
61,801170,20190403,0.5246212597247373
62,801170,20190404,0.523282165983433
63,801170,20190408,0.5181279688163356
64,801170,20190409,0.5189648948280965
65,801180,20190402,0.5239634836732144
66,801180,20190403,0.5246212597247373
67,801180,20190404,0.523282165983433
68,801180,20190408,0.5181279688163356
69,801180,20190409,0.5189648948280965
70,801200,20190402,0.5239634836732144
71,801200,20190403,0.5246212597247373
72,801200,20190404,0.523282165983433
73,801200,20190408,0.5181279688163356
74,801200,20190409,0.5189648948280965
75,801210,20190402,0.5239634836732144
76,801210,20190403,0.5246212597247373
77,801210,20190404,0.523282165983433
78,801210,20190408,0.5181279688163356
79,801210,20190409,0.5189648948280965
80,801230,20190402,0.5239634836732144
81,801230,20190403,0.5246212597247373
82,801230,20190404,0.523282165983433
83,801230,20190408,0.5181279688163356
84,801230,20190409,0.5189648948280965
85,801250,20190402,0.5239634836732144
86,801250,20190403,0.5246212597247373
87,801250,20190404,0.523282165983433
88,801250,20190408,0.5181279688163356
89,801250,20190409,0.5189648948280965
90,801260,20190402,0.5239634836732144
91,801260,20190403,0.5246212597247373
92,801260,20190404,0.523282165983433
93,801260,20190408,0.5181279688163356
94,801260,20190409,0.5189648948280965
95,801270,20190402,0.5239634836732144
96,801270,20190403,0.5246212597247373
97,801270,20190404,0.523282165983433
98,801270,20190408,0.5181279688163356
99,801270,20190409,0.5189648948280965
100,801280,20190402,0.5239634836732144
101,801280,20190403,0.5246212597247373
102,801280,20190404,0.523282165983433
103,801280,20190408,0.5181279688163356
104,801280,20190409,0.5189648948280965
105,801300,20190402,0.5239634836732144
106,801300,20190403,0.5246212597247373
107,801300,20190404,0.523282165983433
108,801300,20190408,0.5181279688163356
109,801300,20190409,0.5189648948280965
110,801710,20190402,0.5239634836732144
111,801710,20190403,0.5246212597247373
112,801710,20190404,0.523282165983433
113,801710,20190408,0.5181279688163356
114,801710,20190409,0.5189648948280965
115,801720,20190402,0.5239634836732144
116,801720,20190403,0.5246212597247373
117,801720,20190404,0.523282165983433
118,801720,20190408,0.5181279688163356
119,801720,20190409,0.5189648948280965
120,801730,20190402,0.5239634836732144
121,801730,20190403,0.5246212597247373
122,801730,20190404,0.523282165983433
123,801730,20190408,0.5181279688163356
124,801730,20190409,0.5189648948280965
125,801740,20190402,0.5239634836732144
126,801740,20190403,0.5246212597247373
127,801740,20190404,0.523282165983433
128,801740,20190408,0.5181279688163356
129,801740,20190409,0.5189648948280965
130,801750,20190402,0.5239634836732144
131,801750,20190403,0.5246212597247373
132,801750,20190404,0.523282165983433
133,801750,20190408,0.5181279688163356
134,801750,20190409,0.5189648948280965
135,801760,20190402,0.5239634836732144
136,801760,20190403,0.5246212597247373
137,801760,20190404,0.523282165983433
138,801760,20190408,0.5181279688163356
139,801760,20190409,0.5189648948280965
140,801770,20190402,0.5239634836732144
141,801770,20190403,0.5246212597247373
142,801770,20190404,0.523282165983433
143,801770,20190408,0.5181279688163356
144,801770,20190409,0.5189648948280965
145,801780,20190402,0.5239634836732144
146,801780,20190403,0.5246212597247373
147,801780,20190404,0.523282165983433
148,801780,20190408,0.5181279688163356
149,801780,20190409,0.5189648948280965
150,801790,20190402,0.5239634836732144
151,801790,20190403,0.5246212597247373
152,801790,20190404,0.523282165983433
153,801790,20190408,0.5181279688163356
154,801790,20190409,0.5189648948280965
155,801880,20190402,0.5239634836732144
156,801880,20190403,0.5246212597247373
157,801880,20190404,0.523282165983433
158,801880,20190408,0.5181279688163356
159,801880,20190409,0.5189648948280965
160,801890,20190402,0.5239634836732144
161,801890,20190403,0.5246212597247373
162,801890,20190404,0.523282165983433
163,801890,20190408,0.5181279688163356
164,801890,20190409,0.5189648948280965
165,802600,20190402,0.5239634836732144
166,802600,20190403,0.5246212597247373
167,802600,20190404,0.523282165983433
168,802600,20190408,0.5181279688163356
169,802600,20190409,0.5189648948280965
