ts_code,trade_date,p
801010,20190402,0.65
801010,20190403,0.6375
801010,20190404,0.575
801010,20190408,0.5375
801010,20190409,0.4625
801020,20190402,0.575
801020,20190403,0.55
801020,20190404,0.5625
801020,20190408,0.65
801020,20190409,0.525
801030,20190402,0.6375
801030,20190403,0.625
801030,20190404,0.6625
801030,20190408,0.55
801030,20190409,0.45
801040,20190402,0.6
801040,20190403,0.525
801040,20190404,0.5625
801040,20190408,0.6375
801040,20190409,0.6125
801050,20190402,0.625
801050,20190403,0.5125
801050,20190404,0.5875
801050,20190408,0.6125
801050,20190409,0.5625
801080,20190402,0.575
801080,20190403,0.6625
801080,20190404,0.675
801080,20190408,0.6125
801080,20190409,0.6
801110,20190402,0.725
801110,20190403,0.6375
801110,20190404,0.6
801110,20190408,0.5125
801110,20190409,0.4625
801120,20190402,0.6
801120,20190403,0.625
801120,20190404,0.6625
801120,20190408,0.5375
801120,20190409,0.575
801130,20190402,0.6625
801130,20190403,0.5625
801130,20190404,0.5625
801130,20190408,0.6625
801130,20190409,0.55
801140,20190402,0.7375
801140,20190403,0.65
801140,20190404,0.675
801140,20190408,0.55
801140,20190409,0.4375
801150,20190402,0.625
801150,20190403,0.5875
801150,20190404,0.575
801150,20190408,0.575
801150,20190409,0.5625
801160,20190402,0.625
801160,20190403,0.65
801160,20190404,0.5875
801160,20190408,0.625
801160,20190409,0.675
801170,20190402,0.675
801170,20190403,0.675
801170,20190404,0.7375
801170,20190408,0.6125
801170,20190409,0.525
801180,20190402,0.675
801180,20190403,0.6125
801180,20190404,0.6625
801180,20190408,0.6125
801180,20190409,0.525
801200,20190402,0.65
801200,20190403,0.725
801200,20190404,0.7125
801200,20190408,0.675
801200,20190409,0.5625
801210,20190402,0.5375
801210,20190403,0.575
801210,20190404,0.525
801210,20190408,0.525
801210,20190409,0.4875
801230,20190402,0.575
801230,20190403,0.6625
801230,20190404,0.6875
801230,20190408,0.6
801230,20190409,0.625
801250,20190402,0.65
801250,20190403,0.525
801250,20190404,0.4625
801250,20190408,0.475
801250,20190409,0.575
801260,20190402,0.725
801260,20190403,0.7875
801260,20190404,0.75
801260,20190408,0.5625
801260,20190409,0.5375
801270,20190402,0.6875
801270,20190403,0.6875
801270,20190404,0.6125
801270,20190408,0.625
801270,20190409,0.6125
801280,20190402,0.6125
801280,20190403,0.525
801280,20190404,0.5625
801280,20190408,0.6125
801280,20190409,0.625
801300,20190402,0.7375
801300,20190403,0.65
801300,20190404,0.575
801300,20190408,0.475
801300,20190409,0.375
801710,20190402,0.6875
801710,20190403,0.675
801710,20190404,0.7
801710,20190408,0.6125
801710,20190409,0.6
801720,20190402,0.6375
801720,20190403,0.5625
801720,20190404,0.575
801720,20190408,0.4875
801720,20190409,0.4375
801730,20190402,0.625
801730,20190403,0.5875
801730,20190404,0.5375
801730,20190408,0.6125
801730,20190409,0.5875
801740,20190402,0.5875
801740,20190403,0.575
801740,20190404,0.6375
801740,20190408,0.6625
801740,20190409,0.625
801750,20190402,0.65
801750,20190403,0.5875
801750,20190404,0.65
801750,20190408,0.6375
801750,20190409,0.7125
801760,20190402,0.6625
801760,20190403,0.6625
801760,20190404,0.6125
801760,20190408,0.4875
801760,20190409,0.4625
801770,20190402,0.7125
801770,20190403,0.6125
801770,20190404,0.6
801770,20190408,0.475
801770,20190409,0.475
801780,20190402,0.6125
801780,20190403,0.55
801780,20190404,0.5625
801780,20190408,0.575
801780,20190409,0.5
801790,20190402,0.525
801790,20190403,0.475
801790,20190404,0.5125
801790,20190408,0.5125
801790,20190409,0.5875
801880,20190402,0.6875
801880,20190403,0.6375
801880,20190404,0.7125
801880,20190408,0.625
801880,20190409,0.5625
801890,20190402,0.6
801890,20190403,0.6375
801890,20190404,0.7
801890,20190408,0.45
801890,20190409,0.575
802600,20190402,0.6125
802600,20190403,0.6125
802600,20190404,0.7125
802600,20190408,0.6125
802600,20190409,0.6125
